rate	Elapsed time	Elapsed time	Pressure
STm3/day	sec	hr	barg
50	0	0	200
50	0.432	1.20E-04	199.97
50	0.864	2.40E-04	199.939
50	1.296	3.60E-04	199.909
50	1.728	4.80E-04	199.879
50	2.16	6.00E-04	199.849
50	2.592	7.20E-04	199.819
50	3.024	8.40E-04	199.789
50	3.456	9.60E-04	199.759
50	3.888	0.00108	199.729
50	4.36241	0.00121178	199.697
50	4.8947	0.00135964	199.66
50	5.49195	0.00152554	199.619
50	6.16206	0.00171168	199.574
50	6.91395	0.00192054	199.523
50	7.75758	0.00215488	199.466
50	8.70415	0.00241782	199.403
50	9.76621	0.00271284	199.332
50	10.9579	0.00304385	199.253
50	12.2949	0.00341526	199.166
50	13.7951	0.00383198	199.068
50	15.4784	0.00429956	198.959
50	17.3671	0.00482418	198.839
50	19.4862	0.00541282	198.705
50	21.8638	0.00607329	198.557
50	24.5316	0.00681434	198.393
50	27.5249	0.00764581	198.212
50	30.8835	0.00857874	198.013
50	34.6518	0.00962551	197.793
50	38.88	0.0108	197.552
50	43.6241	0.0121178	197.288
50	48.947	0.0135964	196.999
50	54.9195	0.0152554	196.685
50	61.6206	0.0171168	196.343
50	69.1395	0.0192054	195.974
50	77.5758	0.0215488	195.577
50	87.0415	0.0241782	195.151
50	97.6621	0.0271284	194.696
50	109.579	0.0304385	194.213
50	122.949	0.0341526	193.705
50	137.951	0.0383198	193.173
50	154.784	0.0429956	192.62
50	173.671	0.0482418	192.051
50	194.862	0.0541282	191.47
50	218.638	0.0607329	190.883
50	245.316	0.0681434	190.297
50	275.249	0.0764581	189.719
50	308.835	0.0857874	189.155
50	346.518	0.0962551	188.612
50	388.8	0.108	188.097
50	436.241	0.121178	187.614
50	489.47	0.135964	187.169
50	549.195	0.152554	186.763
50	616.206	0.171168	186.397
50	691.395	0.192054	186.071
50	775.758	0.215488	185.783
50	870.415	0.241782	185.53
50	976.621	0.271284	185.308
50	1095.79	0.304385	185.113
50	1229.49	0.341526	184.94
50	1379.51	0.383198	184.786
50	1547.84	0.429956	184.646
50	1736.71	0.482418	184.517
50	1948.62	0.541282	184.397
50	2186.38	0.607329	184.283
50	2453.16	0.681434	184.174
50	2752.49	0.764581	184.068
50	3088.35	0.857874	183.965
50	3465.18	0.962551	183.864
50	3888	1.08	183.765
50	4362.41	1.21178	183.667
50	4894.7	1.35964	183.571
50	5491.95	1.52554	183.475
50	6162.06	1.71168	183.38
50	6913.95	1.92054	183.286
50	7757.58	2.15488	183.192
50	8704.15	2.41782	183.1
50	9766.21	2.71284	183.007
50	10957.9	3.04385	182.916
50	12294.9	3.41526	182.825
50	13795.1	3.83198	182.734
50	15478.4	4.29956	182.643
50	17367.1	4.82418	182.552
50	19486.2	5.41282	182.461
50	21646.2	6.01282	182.378
50	23806.2	6.61282	182.301
50	25966.2	7.21282	182.231
50	28126.2	7.81282	182.166
50	30286.2	8.41282	182.105
50	32446.2	9.01282	182.047
50	34606.2	9.61282	181.992
50	36766.2	10.2128	181.94
50	38926.2	10.8128	181.891
50	41086.2	11.4128	181.843
50	43246.2	12.0128	181.797
50	45406.2	12.6128	181.753
50	47566.2	13.2128	181.711
50	49726.2	13.8128	181.67
50	51886.2	14.4128	181.63
50	54046.2	15.0128	181.592
50	56206.2	15.6128	181.554
50	58366.2	16.2128	181.518
50	60526.2	16.8128	181.482
50	62686.2	17.4128	181.448
50	64846.2	18.0128	181.414
50	67006.2	18.6128	181.381
50	69166.2	19.2128	181.349
50	71326.2	19.8128	181.318
50	71663.1	19.9064	181.313
50	72000	20	181.308
0	72000.4	20.0001	181.339
0	72000.9	20.0002	181.369
0	72001.3	20.0004	181.399
0	72001.7	20.0005	181.429
0	72002.2	20.0006	181.46
0	72002.6	20.0007	181.49
0	72003	20.0008	181.519
0	72003.5	20.001	181.549
0	72003.9	20.0011	181.579
0	72004.4	20.0012	181.612
0	72004.9	20.0014	181.648
0	72005.5	20.0015	181.689
0	72006.2	20.0017	181.734
0	72006.9	20.0019	181.785
0	72007.8	20.0022	181.842
0	72008.7	20.0024	181.905
0	72009.8	20.0027	181.976
0	72011	20.003	182.055
0	72012.3	20.0034	182.142
0	72013.8	20.0038	182.24
0	72015.5	20.0043	182.349
0	72017.4	20.0048	182.469
0	72019.5	20.0054	182.603
0	72021.9	20.0061	182.751
0	72024.5	20.0068	182.915
0	72027.5	20.0076	183.096
0	72030.9	20.0086	183.295
0	72034.7	20.0096	183.515
0	72038.9	20.0108	183.756
0	72043.6	20.0121	184.02
0	72048.9	20.0136	184.309
0	72054.9	20.0153	184.623
0	72061.6	20.0171	184.964
0	72069.1	20.0192	185.333
0	72077.6	20.0215	185.73
0	72087	20.0242	186.156
0	72097.7	20.0271	186.611
0	72109.6	20.0304	187.093
0	72122.9	20.0342	187.602
0	72138	20.0383	188.134
0	72154.8	20.043	188.686
0	72173.7	20.0482	189.255
0	72194.9	20.0541	189.836
0	72218.6	20.0607	190.422
0	72245.3	20.0681	191.008
0	72275.2	20.0765	191.586
0	72308.8	20.0858	192.149
0	72346.5	20.0963	192.691
0	72388.8	20.108	193.206
0	72436.2	20.1212	193.688
0	72489.5	20.136	194.132
0	72549.2	20.1526	194.538
0	72616.2	20.1712	194.902
0	72691.4	20.1921	195.227
0	72775.8	20.2155	195.514
0	72870.4	20.2418	195.766
